season,team_id,team_name,stolen_bases,caught_stealing,sb_success_rate
2020,135,San Diego Padres,55,13,.809
2020,119,Los Angeles Dodgers,29,8,.784
2020,141,Toronto Blue Jays,33,6,.846
2020,108,Los Angeles Angels,21,8,.724
2020,147,New York Yankees,27,7,.794
2020,116,Detroit Tigers,19,6,.760
2020,118,Kansas City Royals,49,20,.710
2020,146,Miami Marlins,51,14,.785
2020,142,Minnesota Twins,14,7,.667
2020,109,Arizona Diamondbacks,23,7,.767
2020,117,Houston Astros,22,11,.667
2020,139,Tampa Bay Rays,48,9,.842
2020,138,St. Louis Cardinals,18,10,.643
2020,114,Cleveland Indians,25,10,.714
2020,136,Seattle Mariners,50,16,.758
2020,133,Oakland Athletics,26,3,.897
2020,158,Milwaukee Brewers,15,11,.577
2020,112,Chicago Cubs,24,10,.706
2020,134,Pittsburgh Pirates,16,11,.593
2020,140,Texas Rangers,49,14,.778
2020,113,Cincinnati Reds,29,9,.763
2022,141,Toronto Blue Jays,67,35,.657
2022,121,New York Mets,62,22,.738
2022,111,Boston Red Sox,52,20,.722
2022,119,Los Angeles Dodgers,98,18,.845
2022,145,Chicago White Sox,58,10,.853
2022,115,Colorado Rockies,45,20,.692
2022,114,Cleveland Guardians,119,27,.815
2022,143,Philadelphia Phillies,105,28,.789
2022,144,Atlanta Braves,87,31,.737
2022,138,St. Louis Cardinals,95,25,.792
2022,120,Washington Nationals,75,31,.708
2022,117,Houston Astros,83,22,.790
2022,142,Minnesota Twins,38,17,.691
2022,118,Kansas City Royals,104,34,.754
2022,147,New York Yankees,102,33,.756
2022,135,San Diego Padres,49,22,.690
2022,139,Tampa Bay Rays,95,37,.720
2022,140,Texas Rangers,128,41,.757
2022,112,Chicago Cubs,111,37,.750
2022,110,Baltimore Orioles,95,31,.754
2022,113,Cincinnati Reds,58,33,.637
2022,158,Milwaukee Brewers,96,30,.762
2022,137,San Francisco Giants,64,16,.800
2022,108,Los Angeles Angels,77,27,.740
2022,116,Detroit Tigers,47,24,.662
2022,109,Arizona Diamondbacks,104,29,.782
2022,146,Miami Marlins,122,29,.808
2022,136,Seattle Mariners,83,27,.755
2022,134,Pittsburgh Pirates,89,32,.736
2022,133,Oakland Athletics,78,23,.772
2021,117,Houston Astros,53,16,.768
2021,141,Toronto Blue Jays,81,20,.802
2021,111,Boston Red Sox,40,21,.656
2021,120,Washington Nationals,56,26,.683
2021,145,Chicago White Sox,57,20,.740
2021,113,Cincinnati Reds,36,24,.600
2021,137,San Francisco Giants,66,14,.825
2021,115,Colorado Rockies,76,23,.768
2021,118,Kansas City Royals,124,33,.790
2021,108,Los Angeles Angels,79,26,.752
2021,119,Los Angeles Dodgers,65,17,.793
2021,144,Atlanta Braves,59,19,.756
2021,138,St. Louis Cardinals,89,22,.802
2021,139,Tampa Bay Rays,88,42,.677
2021,135,San Diego Padres,110,39,.738
2021,116,Detroit Tigers,88,25,.779
2021,142,Minnesota Twins,54,15,.783
2021,143,Philadelphia Phillies,77,19,.802
2021,110,Baltimore Orioles,54,23,.701
2021,121,New York Mets,54,26,.675
2021,133,Oakland Athletics,88,20,.815
2021,114,Cleveland Indians,109,17,.865
2021,147,New York Yankees,63,18,.778
2021,112,Chicago Cubs,86,37,.699
2021,134,Pittsburgh Pirates,60,30,.667
2021,109,Arizona Diamondbacks,43,16,.729
2021,158,Milwaukee Brewers,82,21,.796
2021,146,Miami Marlins,106,29,.785
2021,140,Texas Rangers,106,29,.785
2021,136,Seattle Mariners,64,24,.727
2016,111,Boston Red Sox,83,24,.776
2016,115,Colorado Rockies,66,39,.629
2016,116,Detroit Tigers,58,29,.667
2016,146,Miami Marlins,71,28,.717
2016,140,Texas Rangers,99,36,.733
2016,114,Cleveland Indians,134,31,.812
2016,118,Kansas City Royals,121,35,.776
2016,109,Arizona Diamondbacks,137,31,.815
2016,108,Los Angeles Angels,73,34,.682
2016,136,Seattle Mariners,56,28,.667
2016,137,San Francisco Giants,79,36,.687
2016,134,Pittsburgh Pirates,110,45,.710
2016,145,Chicago White Sox,77,36,.681
2016,112,Chicago Cubs,66,34,.660
2016,110,Baltimore Orioles,19,13,.594
2016,113,Cincinnati Reds,139,51,.732
2016,120,Washington Nationals,121,39,.756
2016,138,St. Louis Cardinals,35,26,.574
2016,144,Atlanta Braves,75,34,.688
2016,147,New York Yankees,72,22,.766
2016,142,Minnesota Twins,91,32,.740
2016,119,Los Angeles Dodgers,45,26,.634
2016,141,Toronto Blue Jays,54,24,.692
2016,117,Houston Astros,102,44,.699
2016,121,New York Mets,42,18,.700
2016,133,Oakland Athletics,50,23,.685
2016,158,Milwaukee Brewers,181,56,.764
2016,139,Tampa Bay Rays,60,37,.619
2016,143,Philadelphia Phillies,96,45,.681
2016,135,San Diego Padres,125,45,.735
2019,117,Houston Astros,67,27,.713
2019,142,Minnesota Twins,28,21,.571
2019,111,Boston Red Sox,68,30,.694
2019,147,New York Yankees,55,22,.714
2019,115,Colorado Rockies,71,31,.696
2019,120,Washington Nationals,116,29,.800
2019,134,Pittsburgh Pirates,64,29,.688
2019,145,Chicago White Sox,63,28,.692
2019,144,Atlanta Braves,89,28,.761
2019,119,Los Angeles Dodgers,57,10,.851
2019,121,New York Mets,56,27,.675
2019,139,Tampa Bay Rays,94,37,.718
2019,112,Chicago Cubs,45,24,.652
2019,109,Arizona Diamondbacks,88,14,.863
2019,114,Cleveland Indians,103,35,.746
2019,133,Oakland Athletics,49,21,.700
2019,140,Texas Rangers,131,38,.775
2019,108,Los Angeles Angels,65,20,.765
2019,118,Kansas City Royals,117,39,.750
2019,158,Milwaukee Brewers,101,25,.802
2019,110,Baltimore Orioles,84,30,.737
2019,143,Philadelphia Phillies,78,18,.813
2019,138,St. Louis Cardinals,116,29,.800
2019,113,Cincinnati Reds,80,38,.678
2019,146,Miami Marlins,55,30,.647
2019,116,Detroit Tigers,57,20,.740
2019,137,San Francisco Giants,47,28,.627
2019,135,San Diego Padres,70,37,.654
2019,136,Seattle Mariners,115,47,.710
2019,141,Toronto Blue Jays,51,20,.718
2015,116,Detroit Tigers,83,51,.619
2015,141,Toronto Blue Jays,88,23,.793
2015,118,Kansas City Royals,104,34,.754
2015,137,San Francisco Giants,93,36,.721
2015,115,Colorado Rockies,97,43,.693
2015,111,Boston Red Sox,71,27,.724
2015,109,Arizona Diamondbacks,132,44,.750
2015,146,Miami Marlins,112,45,.713
2015,134,Pittsburgh Pirates,98,45,.685
2015,140,Texas Rangers,101,39,.721
2015,114,Cleveland Indians,86,28,.754
2015,138,St. Louis Cardinals,69,38,.645
2015,139,Tampa Bay Rays,87,45,.659
2015,158,Milwaukee Brewers,84,29,.743
