team_name,year,avg_pitcher_count
Arizona Diamondbacks,2014,4.012345679012346
Arizona Diamondbacks,2015,4.395061728395062
Arizona Diamondbacks,2016,4.549382716049383
Arizona Diamondbacks,2017,4.172839506172839
Arizona Diamondbacks,2018,4.54320987654321
Arizona Diamondbacks,2019,4.438271604938271
Arizona Diamondbacks,2020,4.333333333333333
Arizona Diamondbacks,2021,4.493827160493828
Arizona Diamondbacks,2022,4.37037037037037
Arizona Diamondbacks,2023,4.3765432098765435
Arizona Diamondbacks,2024,4.308641975308642
Atlanta Braves,2014,3.9135802469135803
Atlanta Braves,2015,4.283950617283951
Atlanta Braves,2016,4.645962732919255
Atlanta Braves,2017,4.271604938271605
Atlanta Braves,2018,4.41358024691358
Atlanta Braves,2019,4.555555555555555
Atlanta Braves,2020,4.8
Atlanta Braves,2021,4.608695652173913
Atlanta Braves,2022,4.197530864197531
Atlanta Braves,2023,4.283950617283951
Atlanta Braves,2024,3.9691358024691357
Baltimore Orioles,2014,3.95679012345679
Baltimore Orioles,2015,3.7962962962962963
Baltimore Orioles,2016,3.740740740740741
Baltimore Orioles,2017,4.037037037037037
Baltimore Orioles,2018,4.0246913580246915
Baltimore Orioles,2019,4.296296296296297
Baltimore Orioles,2020,4.45
Baltimore Orioles,2021,4.512345679012346
Baltimore Orioles,2022,4.339506172839506
Baltimore Orioles,2023,4.45679012345679
Baltimore Orioles,2024,4.37037037037037
Boston Red Sox,2014,4.04320987654321
Boston Red Sox,2015,3.932098765432099
Boston Red Sox,2016,3.8580246913580245
Boston Red Sox,2017,4.179012345679013
Boston Red Sox,2018,4.302469135802469
Boston Red Sox,2019,4.901234567901234
Boston Red Sox,2020,4.866666666666666
Boston Red Sox,2021,4.4753086419753085
Boston Red Sox,2022,4.555555555555555
Boston Red Sox,2023,4.172839506172839
Boston Red Sox,2024,4.296296296296297
Chicago Cubs,2014,4.314814814814815
Chicago Cubs,2015,4.407407407407407
Chicago Cubs,2016,4.104938271604938
Chicago Cubs,2017,4.277777777777778
Chicago Cubs,2018,4.680981595092025
Chicago Cubs,2019,4.555555555555555
Chicago Cubs,2020,4.133333333333334
Chicago Cubs,2021,4.697530864197531
Chicago Cubs,2022,4.2592592592592595
Chicago Cubs,2023,4.148148148148148
Chicago Cubs,2024,4.061728395061729
Chicago White Sox,2014,3.7962962962962963
Chicago White Sox,2015,3.5555555555555554
Chicago White Sox,2016,3.9691358024691357
Chicago White Sox,2017,4.209876543209877
Chicago White Sox,2018,4.41358024691358
Chicago White Sox,2019,4.329192546583851
Chicago White Sox,2020,4.733333333333333
Chicago White Sox,2021,4.160493827160494
Chicago White Sox,2022,4.388888888888889
Chicago White Sox,2023,4.216049382716049
Chicago White Sox,2024,4.308641975308642
Cincinnati Reds,2014,3.6419753086419755
Cincinnati Reds,2015,4.216049382716049
Cincinnati Reds,2016,3.9876543209876543
Cincinnati Reds,2017,4.111111111111111
Cincinnati Reds,2018,4.3580246913580245
Cincinnati Reds,2019,4.302469135802469
Cincinnati Reds,2020,3.8
Cincinnati Reds,2021,4.574074074074074
Cincinnati Reds,2022,4.54320987654321
Cincinnati Reds,2023,4.734567901234568
Cincinnati Reds,2024,4.296296296296297
Cleveland Guardians,2022,4.12962962962963
Cleveland Guardians,2023,4.364197530864198
Cleveland Guardians,2024,4.683229813664596
Cleveland Indians,2014,4.54320987654321
Cleveland Indians,2015,3.9565217391304346
Cleveland Indians,2016,4.130434782608695
Cleveland Indians,2017,4.074074074074074
Cleveland Indians,2018,4.1419753086419755
Cleveland Indians,2019,4.222222222222222
Cleveland Indians,2020,4.016666666666667
Cleveland Indians,2021,4.302469135802469
Colorado Rockies,2014,4.3765432098765435
Colorado Rockies,2015,4.604938271604938
Colorado Rockies,2016,4.290123456790123
Colorado Rockies,2017,4.388888888888889
Colorado Rockies,2018,4.177914110429448
Colorado Rockies,2019,4.6419753086419755
Colorado Rockies,2020,4.15
Colorado Rockies,2021,4.372670807453416
Colorado Rockies,2022,4.067901234567901
Colorado Rockies,2023,4.3580246913580245
Colorado Rockies,2024,4.055555555555555
Detroit Tigers,2014,3.919753086419753
Detroit Tigers,2015,4.136645962732919
Detroit Tigers,2016,3.9565217391304346
Detroit Tigers,2017,4.148148148148148
Detroit Tigers,2018,4.345679012345679
Detroit Tigers,2019,4.583850931677019
Detroit Tigers,2020,4.758620689655173
Detroit Tigers,2021,4.561728395061729
Detroit Tigers,2022,4.58641975308642
Detroit Tigers,2023,4.302469135802469
Detroit Tigers,2024,4.111111111111111
Houston Astros,2014,3.7037037037037037
Houston Astros,2015,3.9753086419753085
Houston Astros,2016,4.08641975308642
Houston Astros,2017,4.203703703703703
Houston Astros,2018,4.148148148148148
Houston Astros,2019,4.037037037037037
Houston Astros,2020,4.216666666666667
Houston Astros,2021,4.160493827160494
Houston Astros,2022,3.962962962962963
Houston Astros,2023,4.166666666666667
Houston Astros,2024,4.173913043478261
Kansas City Royals,2014,3.7839506172839505
Kansas City Royals,2015,4.049382716049383
Kansas City Royals,2016,3.9135802469135803
Kansas City Royals,2017,4.320987654320987
Kansas City Royals,2018,3.9814814814814814
Kansas City Royals,2019,4.209876543209877
Kansas City Royals,2020,4.866666666666666
Kansas City Royals,2021,4.432098765432099
Kansas City Royals,2022,4.45679012345679
Kansas City Royals,2023,4.246913580246914
Kansas City Royals,2024,4.1234567901234565
Los Angeles Angels,2014,4.351851851851852
Los Angeles Angels,2015,4.197530864197531
Los Angeles Angels,2016,4.253086419753086
Los Angeles Angels,2017,4.351851851851852
Los Angeles Angels,2018,4.709876543209877
Los Angeles Angels,2019,4.635802469135802
Los Angeles Angels,2020,4.8
Los Angeles Angels,2021,4.469135802469136
Los Angeles Angels,2022,4.0246913580246915
Los Angeles Angels,2023,4.030864197530864
Los Angeles Angels,2024,4.179012345679013
Los Angeles Dodgers,2014,4.061728395061729
Los Angeles Dodgers,2015,4.179012345679013
Los Angeles Dodgers,2016,4.746913580246914
Los Angeles Dodgers,2017,4.308641975308642
Los Angeles Dodgers,2018,4.638036809815951
Los Angeles Dodgers,2019,4.364197530864198
Los Angeles Dodgers,2020,5.15
Los Angeles Dodgers,2021,4.703703703703703
Los Angeles Dodgers,2022,4.4753086419753085
Los Angeles Dodgers,2023,4.401234567901234
Los Angeles Dodgers,2024,4.487654320987654
Miami Marlins,2014,4.006172839506172
Miami Marlins,2015,4.0
Miami Marlins,2016,4.472049689440993
Miami Marlins,2017,4.580246913580247
Miami Marlins,2018,4.391304347826087
Miami Marlins,2019,4.327160493827161
Miami Marlins,2020,4.583333333333333
Miami Marlins,2021,4.679012345679013
Miami Marlins,2022,4.283950617283951
Miami Marlins,2023,4.3580246913580245
Miami Marlins,2024,4.432098765432099
Milwaukee Brewers,2014,3.950617283950617
Milwaukee Brewers,2015,4.061728395061729
Milwaukee Brewers,2016,4.166666666666667
Milwaukee Brewers,2017,4.395061728395062
Milwaukee Brewers,2018,4.429447852760736
Milwaukee Brewers,2019,4.62962962962963
Milwaukee Brewers,2020,4.15
Milwaukee Brewers,2021,4.290123456790123
Milwaukee Brewers,2022,4.382716049382716
Milwaukee Brewers,2023,4.197530864197531
Milwaukee Brewers,2024,4.203703703703703
Minnesota Twins,2014,4.030864197530864
Minnesota Twins,2015,4.209876543209877
Minnesota Twins,2016,4.290123456790123
Minnesota Twins,2017,4.209876543209877
Minnesota Twins,2018,4.493827160493828
Minnesota Twins,2019,4.234567901234568
Minnesota Twins,2020,4.366666666666666
Minnesota Twins,2021,4.265432098765432
Minnesota Twins,2022,4.388888888888889
Minnesota Twins,2023,4.0246913580246915
Minnesota Twins,2024,4.302469135802469
New York Mets,2014,4.018518518518518
New York Mets,2015,3.993827160493827
New York Mets,2016,4.320987654320987
New York Mets,2017,4.506172839506172
New York Mets,2018,4.092592592592593
New York Mets,2019,4.098765432098766
New York Mets,2020,4.283333333333333
New York Mets,2021,4.351851851851852
New York Mets,2022,3.9814814814814814
New York Mets,2023,4.234567901234568
New York Mets,2024,4.185185185185185
New York Yankees,2014,3.932098765432099
New York Yankees,2015,4.067901234567901
New York Yankees,2016,3.9814814814814814
New York Yankees,2017,3.9444444444444446
New York Yankees,2018,4.135802469135802
New York Yankees,2019,4.364197530864198
New York Yankees,2020,3.9166666666666665
New York Yankees,2021,4.160493827160494
New York Yankees,2022,4.12962962962963
New York Yankees,2023,4.104938271604938
New York Yankees,2024,4.216049382716049
Oakland Athletics,2014,3.7222222222222223
Oakland Athletics,2015,4.006172839506172
Oakland Athletics,2016,4.037037037037037
Oakland Athletics,2017,4.2407407407407405
Oakland Athletics,2018,4.567901234567901
Oakland Athletics,2019,4.3765432098765435
Oakland Athletics,2020,4.016666666666667
Oakland Athletics,2021,4.111111111111111
Oakland Athletics,2022,4.271604938271605
Oakland Athletics,2023,4.283950617283951
Oakland Athletics,2024,4.277777777777778
Philadelphia Phillies,2014,3.845679012345679
Philadelphia Phillies,2015,4.104938271604938
Philadelphia Phillies,2016,4.117283950617284
Philadelphia Phillies,2017,4.1234567901234565
Philadelphia Phillies,2018,4.679012345679013
Philadelphia Phillies,2019,4.481481481481482
Philadelphia Phillies,2020,4.15
Philadelphia Phillies,2021,4.2407407407407405
Philadelphia Phillies,2022,4.185185185185185
Philadelphia Phillies,2023,4.228395061728395
Philadelphia Phillies,2024,4.191358024691358
Pittsburgh Pirates,2014,3.7901234567901234
Pittsburgh Pirates,2015,4.08641975308642
Pittsburgh Pirates,2016,4.2407407407407405
Pittsburgh Pirates,2017,4.098765432098766
Pittsburgh Pirates,2018,3.981366459627329
Pittsburgh Pirates,2019,4.395061728395062
Pittsburgh Pirates,2020,4.5
Pittsburgh Pirates,2021,4.598765432098766
Pittsburgh Pirates,2022,4.111111111111111
Pittsburgh Pirates,2023,4.265432098765432
Pittsburgh Pirates,2024,4.166666666666667
San Diego Padres,2014,3.9691358024691357
San Diego Padres,2015,4.185185185185185
San Diego Padres,2016,4.148148148148148
San Diego Padres,2017,4.191358024691358
San Diego Padres,2018,4.308641975308642
San Diego Padres,2019,4.351851851851852
San Diego Padres,2020,4.633333333333334
San Diego Padres,2021,4.851851851851852
San Diego Padres,2022,4.012345679012346
San Diego Padres,2023,4.135802469135802
San Diego Padres,2024,4.327160493827161
San Francisco Giants,2014,3.932098765432099
San Francisco Giants,2015,4.438271604938271
San Francisco Giants,2016,4.549382716049383
San Francisco Giants,2017,4.098765432098766
San Francisco Giants,2018,4.388888888888889
San Francisco Giants,2019,4.6234567901234565
San Francisco Giants,2020,4.933333333333334
San Francisco Giants,2021,4.697530864197531
San Francisco Giants,2022,4.555555555555555
San Francisco Giants,2023,4.061728395061729
San Francisco Giants,2024,4.481481481481482
Seattle Mariners,2014,4.074074074074074
Seattle Mariners,2015,4.1419753086419755
Seattle Mariners,2016,3.9444444444444446
Seattle Mariners,2017,4.253086419753086
Seattle Mariners,2018,4.314814814814815
Seattle Mariners,2019,4.320987654320987
Seattle Mariners,2020,4.15
Seattle Mariners,2021,4.604938271604938
Seattle Mariners,2022,4.308641975308642
Seattle Mariners,2023,4.395061728395062
Seattle Mariners,2024,4.228395061728395
St. Louis Cardinals,2014,3.993827160493827
St. Louis Cardinals,2015,4.179012345679013
St. Louis Cardinals,2016,3.9691358024691357
St. Louis Cardinals,2017,4.37037037037037
St. Louis Cardinals,2018,4.493827160493828
St. Louis Cardinals,2019,4.345679012345679
St. Louis Cardinals,2020,4.051724137931035
St. Louis Cardinals,2021,4.438271604938271
St. Louis Cardinals,2022,3.876543209876543
St. Louis Cardinals,2023,3.9876543209876543
St. Louis Cardinals,2024,4.135802469135802
Tampa Bay Rays,2014,4.049382716049383
Tampa Bay Rays,2015,4.277777777777778
Tampa Bay Rays,2016,3.993827160493827
Tampa Bay Rays,2017,4.154320987654321
Tampa Bay Rays,2018,4.41358024691358
Tampa Bay Rays,2019,4.722222222222222
Tampa Bay Rays,2020,4.65
Tampa Bay Rays,2021,4.277777777777778
Tampa Bay Rays,2022,4.537037037037037
Tampa Bay Rays,2023,4.308641975308642
Tampa Bay Rays,2024,4.345679012345679
Texas Rangers,2014,3.9444444444444446
Texas Rangers,2015,4.074074074074074
Texas Rangers,2016,3.95679012345679
Texas Rangers,2017,3.8641975308641974
Texas Rangers,2018,4.1234567901234565
Texas Rangers,2019,4.08641975308642
Texas Rangers,2020,4.4
Texas Rangers,2021,4.12962962962963
Texas Rangers,2022,4.283950617283951
Texas Rangers,2023,3.882716049382716
Texas Rangers,2024,3.9876543209876543
Toronto Blue Jays,2014,3.771604938271605
Toronto Blue Jays,2015,3.8950617283950617
Toronto Blue Jays,2016,4.006172839506172
Toronto Blue Jays,2017,4.567901234567901
Toronto Blue Jays,2018,4.6419753086419755
Toronto Blue Jays,2019,4.648148148148148
Toronto Blue Jays,2020,4.766666666666667
Toronto Blue Jays,2021,4.314814814814815
Toronto Blue Jays,2022,4.611111111111111
Toronto Blue Jays,2023,4.395061728395062
Toronto Blue Jays,2024,4.388888888888889
Washington Nationals,2014,3.8271604938271606
Washington Nationals,2015,3.888888888888889
Washington Nationals,2016,4.1419753086419755
Washington Nationals,2017,4.006172839506172
Washington Nationals,2018,4.4753086419753085
Washington Nationals,2019,4.271604938271605
Washington Nationals,2020,4.366666666666666
Washington Nationals,2021,4.512345679012346
Washington Nationals,2022,4.62962962962963
Washington Nationals,2023,4.246913580246914
