year,game_datetime,game_pk,position,AB,OBP,SLG,OPS
2014,2014-04-12T00:15:00Z,380681,P,2,0.333,0.0,0.333
2014,2014-04-12T01:40:00Z,380687,P,2,0.0,0.0,0.0
2014,2014-04-12T02:10:00Z,380684,P,4,0.25,0.25,0.5
2014,2014-04-12T02:15:00Z,380683,P,1,1.0,4.0,5.0
2014,2014-04-12T17:10:00Z,380707,P,1,0.0,0.0,0.0
2014,2014-04-12T20:05:00Z,380698,P,1,0.5,0.0,0.5
2014,2014-04-12T23:05:00Z,380703,P,1,0.0,0.0,0.0
2014,2014-04-12T18:15:00Z,380696,P,2,0.5,0.5,1.0
2014,2014-04-12T23:10:00Z,380709,P,2,0.0,0.0,0.0
2014,2014-04-13T17:10:00Z,380722,P,3,0.333,0.333,0.667
2014,2014-04-12T23:10:00Z,380706,P,1,0.5,0.0,0.5
2014,2014-04-13T00:40:00Z,380699,P,2,0.0,0.0,0.0
2014,2014-04-13T00:10:00Z,380702,P,1,1.0,1.0,2.0
2014,2014-04-13T18:10:00Z,380721,P,1,0.5,0.0,0.5
2014,2014-04-13T17:35:00Z,380718,P,2,0.5,0.5,1.0
2014,2014-04-13T18:15:00Z,380711,P,2,0.0,0.0,0.0
2014,2014-04-13T20:05:00Z,380713,P,3,0.0,0.0,0.0
2014,2014-04-13T17:35:00Z,380724,P,3,0.0,0.0,0.0
2014,2014-04-13T20:10:00Z,380717,P,2,0.5,1.0,1.5
2014,2014-04-14T23:05:00Z,380725,P,2,0.0,0.0,0.0
2014,2014-04-13T20:10:00Z,380714,P,2,0.5,0.5,1.0
2014,2014-04-14T23:10:00Z,380733,P,2,0.0,0.0,0.0
2014,2014-04-15T21:30:00Z,380729,P,1,0.0,0.0,0.0
2014,2014-04-15T21:30:00Z,380729,P,1,0.0,0.0,0.0
2014,2014-04-15T01:40:00Z,380727,P,2,0.0,0.0,0.0
2014,2014-04-15T00:10:00Z,380731,P,2,0.0,0.0,0.0
2014,2014-04-15T02:10:00Z,380726,P,1,0.0,0.0,0.0
2014,2014-04-15T23:10:00Z,380748,P,2,0.0,0.0,0.0
2014,2014-04-15T23:10:00Z,380743,P,3,0.667,2.0,2.667
2014,2014-06-28T23:15:00Z,380734,P,2,0.0,0.0,0.0
2014,2014-04-16T02:10:00Z,380738,P,2,0.0,0.0,0.0
2014,2014-04-16T00:10:00Z,380745,P,2,0.0,0.0,0.0
2014,2014-04-16T02:15:00Z,380740,P,0,1.0,,
2014,2014-04-16T01:40:00Z,380741,P,1,0.0,0.0,0.0
