season,team_id,team_name,babip
2018,134,Pittsburgh Pirates,.298
2018,158,Milwaukee Brewers,.302
2018,133,Oakland Athletics,.294
2018,119,Los Angeles Dodgers,.294
2018,142,Minnesota Twins,.298
2018,147,New York Yankees,.285
2018,138,St. Louis Cardinals,.294
2018,118,Kansas City Royals,.293
2018,141,Toronto Blue Jays,.286
2018,108,Los Angeles Angels,.277
2018,116,Detroit Tigers,.293
2018,145,Chicago White Sox,.304
2018,140,Texas Rangers,.292
2018,110,Baltimore Orioles,.286
2018,137,San Francisco Giants,.299
2018,146,Miami Marlins,.293
2018,109,Arizona Diamondbacks,.286
2018,135,San Diego Padres,.294
2018,121,New York Mets,.283
2018,143,Philadelphia Phillies,.289
2015,116,Detroit Tigers,.322
2015,141,Toronto Blue Jays,.298
2015,118,Kansas City Royals,.301
2015,137,San Francisco Giants,.313
2015,115,Colorado Rockies,.313
2015,111,Boston Red Sox,.305
2015,109,Arizona Diamondbacks,.316
2015,146,Miami Marlins,.307
2015,134,Pittsburgh Pirates,.314
2015,140,Texas Rangers,.300
2015,114,Cleveland Indians,.299
2015,138,St. Louis Cardinals,.303
2015,139,Tampa Bay Rays,.300
2015,158,Milwaukee Brewers,.303
2015,144,Atlanta Braves,.297
2015,120,Washington Nationals,.300
2015,147,New York Yankees,.283
2015,133,Oakland Athletics,.288
2015,119,Los Angeles Dodgers,.292
2015,110,Baltimore Orioles,.291
2015,117,Houston Astros,.292
2015,145,Chicago White Sox,.296
2015,136,Seattle Mariners,.292
2015,143,Philadelphia Phillies,.299
2015,113,Cincinnati Reds,.290
2015,142,Minnesota Twins,.292
2015,108,Los Angeles Angels,.280
2015,121,New York Mets,.287
2015,112,Chicago Cubs,.305
2015,135,San Diego Padres,.292
2016,111,Boston Red Sox,.320
2016,115,Colorado Rockies,.326
2016,116,Detroit Tigers,.312
2016,146,Miami Marlins,.314
2016,140,Texas Rangers,.298
2016,114,Cleveland Indians,.304
2016,118,Kansas City Royals,.309
2016,109,Arizona Diamondbacks,.315
2016,108,Los Angeles Angels,.289
2016,136,Seattle Mariners,.297
2016,137,San Francisco Giants,.299
2016,134,Pittsburgh Pirates,.311
2016,145,Chicago White Sox,.304
2016,112,Chicago Cubs,.302
2016,110,Baltimore Orioles,.291
2016,113,Cincinnati Reds,.303
2016,120,Washington Nationals,.293
2016,138,St. Louis Cardinals,.294
2016,144,Atlanta Braves,.305
2016,147,New York Yankees,.289
2016,142,Minnesota Twins,.300
2016,119,Los Angeles Dodgers,.294
2016,141,Toronto Blue Jays,.289
2016,117,Houston Astros,.298
2016,121,New York Mets,.282
2016,133,Oakland Athletics,.280
2016,158,Milwaukee Brewers,.304
2016,139,Tampa Bay Rays,.293
2016,143,Philadelphia Phillies,.291
2016,135,San Diego Padres,.291
2021,117,Houston Astros,.303
2021,141,Toronto Blue Jays,.296
2021,111,Boston Red Sox,.309
2021,120,Washington Nationals,.307
2021,145,Chicago White Sox,.310
2021,113,Cincinnati Reds,.296
2021,137,San Francisco Giants,.295
2021,115,Colorado Rockies,.299
2021,118,Kansas City Royals,.292
2021,108,Los Angeles Angels,.294
