year,game_datetime,game_pk,team_winner,team_loser,final_inning
2014,2014-05-10 23:05:00+00:00,381081,Baltimore Orioles,Houston Astros,10
2014,2014-05-11 01:05:00+00:00,381089,Oakland Athletics,Washington Nationals,10
2014,2014-05-11 17:10:00+00:00,381101,New York Mets,Philadelphia Phillies,11
2014,2014-05-11 20:10:00+00:00,381102,San Francisco Giants,Los Angeles Dodgers,10
2014,2014-05-14 00:15:00+00:00,381119,St. Louis Cardinals,Chicago Cubs,12
2014,2014-05-15 17:10:00+00:00,381146,Minnesota Twins,Boston Red Sox,10
2014,2014-05-19 23:05:00+00:00,381201,Cleveland Indians,Detroit Tigers,10
2014,2014-05-18 20:10:00+00:00,381195,Colorado Rockies,San Diego Padres,10
2014,2014-05-19 23:05:00+00:00,381200,Cincinnati Reds,Washington Nationals,15
2014,2014-05-21 16:05:00+00:00,381223,Cleveland Indians,Detroit Tigers,13
2014,2014-05-21 18:20:00+00:00,381228,New York Yankees,Chicago Cubs,13
2014,2014-05-22 00:15:00+00:00,381219,St. Louis Cardinals,Arizona Diamondbacks,12
2014,2014-05-22 23:05:00+00:00,381236,Cleveland Indians,Baltimore Orioles,13
2014,2014-05-22 20:10:00+00:00,381241,Tampa Bay Rays,Oakland Athletics,11
2014,2014-05-24 18:10:00+00:00,381272,New York Yankees,Chicago White Sox,10
2014,2014-05-24 20:10:00+00:00,381263,Tampa Bay Rays,Boston Red Sox,15
2014,2014-05-24 23:15:00+00:00,381268,Kansas City Royals,Los Angeles Angels,13
2014,2014-05-26 20:15:00+00:00,381302,New York Yankees,St. Louis Cardinals,12
2014,2014-05-26 18:10:00+00:00,381293,Baltimore Orioles,Milwaukee Brewers,10
2014,2014-05-28 00:10:00+00:00,381308,Milwaukee Brewers,Baltimore Orioles,10
2014,2014-05-28 23:05:00+00:00,381331,Miami Marlins,Washington Nationals,10
2014,2014-05-29 23:07:00+00:00,381342,Kansas City Royals,Toronto Blue Jays,10
2014,2014-05-30 23:05:00+00:00,381356,Philadelphia Phillies,New York Mets,14
2014,2014-05-30 23:10:00+00:00,381360,Boston Red Sox,Tampa Bay Rays,10
2014,2014-05-31 19:05:00+00:00,381371,New York Mets,Philadelphia Phillies,14
2014,2014-06-01 17:35:00+00:00,381386,New York Mets,Philadelphia Phillies,11
2014,2014-06-03 23:05:00+00:00,381406,Oakland Athletics,New York Yankees,10
2014,2014-06-04 23:05:00+00:00,381416,Cleveland Indians,Boston Red Sox,12
2014,2014-06-05 00:10:00+00:00,381426,St. Louis Cardinals,Kansas City Royals,11
2014,2014-06-06 23:05:00+00:00,381449,Oakland Athletics,Baltimore Orioles,11
2014,2014-06-06 20:05:00+00:00,381445,Chicago Cubs,Miami Marlins,13
2014,2014-06-07 20:10:00+00:00,381459,Colorado Rockies,Los Angeles Dodgers,10
2014,2014-06-08 02:10:00+00:00,381468,San Diego Padres,Washington Nationals,11
2014,2014-06-08 02:10:00+00:00,381454,Arizona Diamondbacks,Atlanta Braves,11
2014,2014-06-11 02:05:00+00:00,381507,Los Angeles Angels,Oakland Athletics,14
2014,2014-06-12 23:10:00+00:00,381532,Milwaukee Brewers,New York Mets,13
2014,2014-06-13 00:10:00+00:00,381526,Houston Astros,Arizona Diamondbacks,10
2014,2014-06-13 23:10:00+00:00,381546,Pittsburgh Pirates,Miami Marlins,13
2014,2014-06-14 23:15:00+00:00,381552,Los Angeles Angels,Atlanta Braves,13
2014,2014-06-15 17:10:00+00:00,381576,Miami Marlins,Pittsburgh Pirates,10
2014,2014-06-15 17:35:00+00:00,381571,Cleveland Indians,Boston Red Sox,11
2014,2014-06-16 23:10:00+00:00,381590,Philadelphia Phillies,Atlanta Braves,13
2014,2014-06-16 23:10:00+00:00,381584,Chicago Cubs,Miami Marlins,13
2014,2014-06-18 17:35:00+00:00,381616,Boston Red Sox,Minnesota Twins,10
2014,2014-06-19 16:05:00+00:00,381623,Cleveland Indians,Los Angeles Angels,10
2014,2014-06-19 16:35:00+00:00,381627,Pittsburgh Pirates,Cincinnati Reds,12
2014,2014-06-20 23:05:00+00:00,381634,Atlanta Braves,Washington Nationals,13
