game_id,year,team_name,pitcher_old,pitcher_new
382849,2014,Milwaukee Brewers,Jeremy Jeffress,Will Smith
382849,2014,Milwaukee Brewers,Brandon Kintzler,Zach Duke
380807,2014,New York Mets,Gonzalez Germen,Scott Rice
382575,2014,Detroit Tigers,Rick Porcello,Phil Coke
382575,2014,Detroit Tigers,Phil Coke,Evan Reed
382852,2014,Seattle Mariners,Chris Young,Erasmo Ramírez
380816,2014,Seattle Mariners,Brandon Maurer,Dominic Leone
380816,2014,Seattle Mariners,Dominic Leone,Joe Beimel
380816,2014,Miami Marlins,Arquimedes Caminero,Dan Jennings
380816,2014,Miami Marlins,Dan Jennings,Carlos Marmol
380816,2014,Seattle Mariners,Danny Farquhar,Charlie Furbush
380816,2014,Seattle Mariners,Charlie Furbush,Tom Wilhelmsen
381359,2014,St. Louis Cardinals,Adam Wainwright,Seth Maness
381359,2014,St. Louis Cardinals,Seth Maness,Randy Choate
381359,2014,San Francisco Giants,David Huff,Juan Gutierrez
381957,2014,Arizona Diamondbacks,Matt Stites,Evan Marshall
381957,2014,San Francisco Giants,Madison Bumgarner,Javier López
381957,2014,San Francisco Giants,Javier López,Juan Gutierrez
382239,2014,Arizona Diamondbacks,Matt Stites,Oliver Pérez
381143,2014,Houston Astros,Darin Downs,Paul Clemens
381143,2014,Texas Rangers,Nick Tepesch,Aaron Poreda
381143,2014,Texas Rangers,Aaron Poreda,Jason Frasor
381143,2014,Houston Astros,Paul Clemens,Tony Sipp
381143,2014,Texas Rangers,Jason Frasor,Neal Cotts
381143,2014,Houston Astros,Tony Sipp,Chad Qualls
382571,2014,Chicago Cubs,Travis Wood,Justin Grimm
382571,2014,Chicago Cubs,Justin Grimm,Wesley Wright
382571,2014,St. Louis Cardinals,John Lackey,Randy Choate
382571,2014,Chicago Cubs,Wesley Wright,Pedro Strop
382846,2014,Minnesota Twins,Trevor May,A.J. Achter
382846,2014,Cleveland Indians,TJ House,Zach McAllister
382846,2014,Minnesota Twins,Caleb Thielbar,Lester Oliveros
382846,2014,Cleveland Indians,Nick Hagadone,C.C. Lee
382846,2014,Cleveland Indians,C.C. Lee,Marc Rzepczynski
382240,2014,Los Angeles Dodgers,Dan Haren,J.P. Howell
382240,2014,Los Angeles Dodgers,J.P. Howell,Brandon League
380818,2014,St. Louis Cardinals,Shelby Miller,Randy Choate
380818,2014,St. Louis Cardinals,Kevin Siegrist,Pat Neshek
381132,2014,Boston Red Sox,Felix Doubront,Burke Badenhop
381967,2014,Los Angeles Dodgers,Brandon League,J.P. Howell
381967,2014,San Diego Padres,Blaine Boyer,Alex Torres
381967,2014,San Diego Padres,Alex Torres,Dale Thayer
382581,2014,Oakland Athletics,Scott Kazmir,Dan Otero
381965,2014,Seattle Mariners,Danny Farquhar,Charlie Furbush
381965,2014,Oakland Athletics,Sonny Gray,Sean Doolittle
381347,2014,Los Angeles Angels,Garrett Richards,Wade LeBlanc
381347,2014,Oakland Athletics,Drew Pomeranz,Dan Otero
381347,2014,Oakland Athletics,Dan Otero,Luke Gregerson
382850,2014,New York Mets,Jonathon Niese,Josh Edgin
382850,2014,New York Mets,Josh Edgin,Carlos Torres
380812,2014,Milwaukee Brewers,Jim Henderson,Will Smith
381963,2014,Colorado Rockies,Rex Brothers,Adam Ottavino
382258,2014,Washington Nationals,Jordan Zimmermann,Drew Storen
382258,2014,Washington Nationals,Drew Storen,Jerry Blevins
382258,2014,New York Mets,Vic Black,Josh Edgin
382258,2014,New York Mets,Josh Edgin,Jeurys Familia
382258,2014,New York Mets,Jeurys Familia,Dana Eveland
381357,2014,Pittsburgh Pirates,Francisco Liriano,Justin Wilson
382252,2014,New York Yankees,Shane Greene,David Robertson
382578,2014,Milwaukee Brewers,Kyle Lohse,Zach Duke
382578,2014,San Francisco Giants,George Kontos,Javier López
382578,2014,Milwaukee Brewers,Alfredo Figaro,Will Smith
382578,2014,Milwaukee Brewers,Will Smith,Brandon Kintzler
382844,2014,Tampa Bay Rays,Chris Archer,Joel Peralta
382844,2014,Tampa Bay Rays,Joel Peralta,Jeff Beliveau
382844,2014,Tampa Bay Rays,Jeff Beliveau,Grant Balfour
380814,2014,Tampa Bay Rays,Brandon Gomes,Jake McGee
380814,2014,Tampa Bay Rays,Jake McGee,Joel Peralta
380814,2014,New York Yankees,David Phelps,Matt Thornton
380814,2014,New York Yankees,Matt Thornton,Adam Warren
380814,2014,Tampa Bay Rays,Heath Bell,C.J. Riefenhauser
380814,2014,Tampa Bay Rays,C.J. Riefenhauser,Josh Lueke
381138,2014,Los Angeles Dodgers,Paul Maholm,Chris Perez
381353,2014,Detroit Tigers,Justin Verlander,Ian Krol
382856,2014,Miami Marlins,Jarred Cosart,Mike Dunn
382856,2014,Miami Marlins,Mike Dunn,Chris Hatcher
382259,2014,San Francisco Giants,Jake Peavy,Juan Gutierrez
382259,2014,Milwaukee Brewers,Wily Peralta,Jeremy Jeffress
382259,2014,Milwaukee Brewers,Jeremy Jeffress,Will Smith
381964,2014,New York Yankees,Chase Whitley,David Huff
382574,2014,Colorado Rockies,Jorge De La Rosa,Matt Belisle
381141,2014,Cincinnati Reds,Logan Ondrusek,Sean Marshall
380813,2014,Kansas City Royals,Yordano Ventura,Louis Coleman
380813,2014,Minnesota Twins,Phil Hughes,Brian Duensing
380813,2014,Minnesota Twins,Brian Duensing,Casey Fien
382576,2014,San Diego Padres,Blaine Boyer,Alex Torres
382576,2014,San Diego Padres,Alex Torres,Jesse Hahn
382845,2014,St. Louis Cardinals,Michael Wacha,Jason Motte
382845,2014,Cincinnati Reds,Ryan Dennick,Pedro Villarreal
382845,2014,St. Louis Cardinals,Marco Gonzales,Seth Maness
380810,2014,Chicago Cubs,Carlos Villanueva,Wesley Wright
380810,2014,Cincinnati Reds,Manny Parra,Sam LeCure
381134,2014,St. Louis Cardinals,Justin Masterson,Tyler Lyons
382250,2014,Chicago Cubs,Wesley Wright,Justin Grimm
381976,2014,Colorado Rockies,Rex Brothers,Adam Ottavino
381976,2014,Colorado Rockies,Matt Belisle,Tommy Kahnle
381974,2014,New York Yankees,David Phelps,Dellin Betances
382584,2014,Seattle Mariners,Charlie Furbush,Danny Farquhar
382584,2014,Washington Nationals,Tanner Roark,Jerry Blevins
382584,2014,Washington Nationals,Jerry Blevins,Craig Stammen
382853,2014,San Francisco Giants,Yusmeiro Petit,Javier López
382853,2014,San Francisco Giants,Javier López,Juan Gutierrez
382853,2014,San Francisco Giants,Jeremy Affeldt,Hunter Strickland
382853,2014,San Diego Padres,Andrew Cashner,Kevin Quackenbush
381370,2014,Minnesota Twins,Brian Duensing,Jared Burton
382253,2014,Houston Astros,Josh Fields,Tony Sipp
382253,2014,Houston Astros,Tony Sipp,Chad Qualls
381980,2014,Milwaukee Brewers,Rob Wooten,Zach Duke
381369,2014,Kansas City Royals,Aaron Brooks,Michael Mariot
382256,2014,Miami Marlins,Brian Flynn,Sam Dyson
382256,2014,Miami Marlins,Dan Jennings,AJ Ramos
382256,2014,Miami Marlins,Steve Cishek,Chris Hatcher
382577,2014,Miami Marlins,Nathan Eovaldi,Chris Hatcher
381373,2014,Chicago White Sox,André Rienzo,Scott Carroll
381373,2014,Chicago White Sox,Scott Downs,Daniel Webb
381986,2014,Texas Rangers,Yu Darvish,Neal Cotts
381986,2014,Toronto Blue Jays,Aaron Loup,Todd Redmond
381141,2014,Cincinnati Reds,Logan Ondrusek,Sean Marshall
382573,2014,Kansas City Royals,Danny Duffy,Kelvin Herrera
381975,2014,Detroit Tigers,Aníbal Sánchez,Ian Krol
381975,2014,Detroit Tigers,Ian Krol,Al Alburquerque
381975,2014,Detroit Tigers,Al Alburquerque,Blaine Hardy
380809,2014,Texas Rangers,Robbie Ross Jr.,Shawn Tolleson
382854,2014,Los Angeles Angels,Jered Weaver,Jason Grilli
382854,2014,Los Angeles Angels,Jason Grilli,Joe Thatcher
382854,2014,Los Angeles Angels,Joe Thatcher,Joe Smith
380811,2014,Oakland Athletics,Jim Johnson,Sean Doolittle
381367,2014,Colorado Rockies,Franklin Morales,Nick Masset
381367,2014,Cleveland Indians,Scott Atchison,Josh Outman
381367,2014,Cleveland Indians,Josh Outman,Bryan Shaw
382251,2014,Cleveland Indians,TJ House,C.C. Lee
382586,2014,Tampa Bay Rays,Drew Smyly,Brad Boxberger
382586,2014,Boston Red Sox,Rubby De La Rosa,Tommy Layne
382586,2014,Tampa Bay Rays,Jeff Beliveau,Steve Geltz
382586,2014,Boston Red Sox,Craig Breslow,Burke Badenhop
381978,2014,Kansas City Royals,James Shields,Scott Downs
381978,2014,Boston Red Sox,Burke Badenhop,Andrew Miller
382248,2014,Boston Red Sox,Brandon Workman,Craig Breslow
382248,2014,Boston Red Sox,Craig Breslow,Burke Badenhop
382870,2014,Toronto Blue Jays,Drew Hutchison,Aaron Loup
382870,2014,New York Yankees,Masahiro Tanaka,Adam Warren
382870,2014,Toronto Blue Jays,Todd Redmond,Daniel Norris
380806,2014,Los Angeles Dodgers,Jamey Wright,Chris Perez
380806,2014,Los Angeles Dodgers,Chris Perez,J.P. Howell
381371,2014,New York Mets,Jacob deGrom,Josh Edgin
381371,2014,New York Mets,Josh Edgin,Daisuke Matsuzaka
381371,2014,New York Mets,Daisuke Matsuzaka,Scott Rice
382591,2014,Atlanta Braves,Julio Teheran,Luis Avilán
382591,2014,Atlanta Braves,Juan Jaime,James Russell
381984,2014,Miami Marlins,Nathan Eovaldi,Dan Jennings
381984,2014,San Francisco Giants,Javier López,Juan Gutierrez
380817,2014,San Francisco Giants,Tim Lincecum,Jeremy Affeldt
380817,2014,San Francisco Giants,Javier López,Santiago Casilla
381151,2014,Milwaukee Brewers,Yovani Gallardo,Zach Duke
381151,2014,Milwaukee Brewers,Tyler Thornburg,Rob Wooten
381364,2014,Baltimore Orioles,Chris Tillman,Ryan Webb
382590,2014,Miami Marlins,Henderson Alvarez III,Brad Hand
382590,2014,New York Mets,Zack Wheeler,Buddy Carlyle
382590,2014,Miami Marlins,Brad Hand,Sam Dyson
382590,2014,New York Mets,Jeurys Familia,Erik Goeddel
382255,2014,Los Angeles Angels,C.J. Wilson,Cory Rasmus
382255,2014,Los Angeles Angels,Cory Rasmus,Cam Bedrosian
380815,2014,Philadelphia Phillies,Roberto Hernandez,Mario Hollands
380815,2014,Colorado Rockies,Juan Nicasio,Rex Brothers
380815,2014,Philadelphia Phillies,B.J. Rosenberg,Jake Diekman
380815,2014,Colorado Rockies,Boone Logan,Adam Ottavino
381147,2014,Chicago Cubs,Jason Hammel,Jose Veras
381147,2014,St. Louis Cardinals,Kevin Siegrist,Trevor Rosenthal
382858,2014,Baltimore Orioles,Miguel González,Ryan Webb
382858,2014,Baltimore Orioles,Ryan Webb,Evan Meek
382858,2014,Boston Red Sox,Tommy Layne,Burke Badenhop
381363,2014,Miami Marlins,Dan Jennings,Chris Hatcher
381363,2014,Atlanta Braves,Luis Avilán,David Carpenter
381363,2014,Atlanta Braves,David Carpenter,Shae Simmons
381363,2014,Miami Marlins,AJ Ramos,Kevin Slowey
381363,2014,Atlanta Braves,David Hale,Craig Kimbrel
382589,2014,Baltimore Orioles,Kevin Gausman,Andrew Miller
382257,2014,Minnesota Twins,Yohan Pino,Caleb Thielbar
382257,2014,Minnesota Twins,Caleb Thielbar,Ryan Pressly
381985,2014,Tampa Bay Rays,Alex Cobb,Brad Boxberger
381985,2014,Minnesota Twins,Kyle Gibson,Matt Guerrier
381985,2014,Minnesota Twins,Matt Guerrier,Anthony Swarzak
380808,2014,Boston Red Sox,Jake Peavy,Chris Capuano
380808,2014,Baltimore Orioles,Ubaldo Jiménez,Zack Britton
380808,2014,Baltimore Orioles,Zack Britton,Evan Meek
380808,2014,Boston Red Sox,Chris Capuano,Junichi Tazawa
380808,2014,Boston Red Sox,Junichi Tazawa,Andrew Miller
380808,2014,Boston Red Sox,Andrew Miller,Edward Mujica
380808,2014,Baltimore Orioles,Brian Matusz,Darren O'Day
382865,2014,Atlanta Braves,Juan Jaime,Luis Avilán
381148,2014,Cleveland Indians,C.C. Lee,Josh Outman
381148,2014,Cleveland Indians,Josh Outman,Scott Atchison
381148,2014,Cleveland Indians,Scott Atchison,Marc Rzepczynski
381148,2014,Cleveland Indians,Marc Rzepczynski,John Axford
381148,2014,Toronto Blue Jays,Steve Delabar,Aaron Loup
381148,2014,Cleveland Indians,John Axford,Cody Allen
382592,2014,St. Louis Cardinals,Kevin Siegrist,Seth Maness
382592,2014,Pittsburgh Pirates,Gerrit Cole,John Axford
382592,2014,Pittsburgh Pirates,John Axford,Justin Wilson
381365,2014,Milwaukee Brewers,Wily Peralta,Zach Duke
382249,2014,Seattle Mariners,Roenis Elías,Brandon Maurer
382249,2014,Chicago White Sox,Scott Carroll,Eric Surkamp
382249,2014,Chicago White Sox,Eric Surkamp,Daniel Webb
382249,2014,Chicago White Sox,André Rienzo,Maikel Cleto
